AL,ANONYMOUS_1,CA,B,ZN,P,MO,FTBN,S,PQINDEX,FE,MG,V40,V100,FH2O,NA,K,SOOTPERCENTAGE,ANONYMOUS_2,CU,Y_LABEL
0,2080,32,30,1003,891,197,10.3,4047,10,6,9,111.5,13.8,14.0,0,2.0,0.1,200,2,0
0,2043,79,6,1063,878,24,8.2,4034,13,21,9,83.2,11.9,15.0,4,6.0,0.2,1243,40,0
0,4488,35,1,1507,1332,0,9.0,7607,8,13,307,99.3,13.8,13.0,2,1.0,0.4,200,0,0
2,3804,8,202,1312,1111,231,8.8,5091,15,16,13,104.5,13.6,14.0,1,9.0,0.4,200,1,0
1,2023,13,197,1247,1115,223,7.6,4594,7,21,9,95.2,12.5,13.0,3,2.0,0.2,200,6,0
2,2918,3382,0,1161,934,1,7.6,4530,12,37,16,110.2,14.5,13.0,3,3.0,1.1,200,2,0
1,1339,3192,7,1464,1284,256,9.4,5683,16,10,144,116.9,14.7,17.0,3,2.0,0.2,539,5,0
2,1751,230,9,1656,1361,11,10.9,7048,18,36,90,113.0,14.1,16.0,1,15.0,1.4,200,8,0
2,2653,1976,22,1253,1137,186,8.8,4537,10,10,109,117.2,14.7,16.0,3,4.0,0.7,468,4,0
6,1830,3624,163,1193,933,189,10.3,3708,14,65,471,126.2,15.2,14.0,3,3.0,1.4,200,135,0
4,2022,3424,16,1187,948,2,8.6,3745,28,49,255,86.5,13.0,10.0,2,5.0,0.6,375,11,0
10,1926,3022,94,1187,984,3,8.8,8150,11,76,10,97.5,13.3,16.0,4,9.0,0.8,200,24,0
0,1386,7,84,1149,983,65,8.5,9816,14,8,10,105.1,13.5,18.0,3,0.0,0.1,200,1,0
2,6713,2024,2,1266,1050,206,9.4,4327,8,25,13,113.4,14.1,14.0,3,2.0,0.7,200,9,0
3,1662,2347,77,1055,900,176,10.2,3352,13,42,505,125.9,14.9,14.0,4,3.0,0.4,862,8,1
1453,4086,214,160,1515,1212,271,10.6,4507,8,7,15,111.0,13.8,16.0,4,3.0,0.0,200,2,1
4,1677,3664,177,1282,1039,39,8.6,4094,27,41,105,102.7,13.5,13.0,5,5.0,0.4,200,53,0
8,1725,3416,9,1070,965,42,8.3,10500,22,24,18,86.5,12.5,16.0,4,2.0,0.8,550,4,0
0,1754,10,142,1114,908,0,8.1,4390,17,33,252,86.7,12.7,13.0,1,2.0,0.8,200,3,0
4,3450,2954,213,1053,948,4,7.1,3980,10,23,10,85.1,11.6,15.0,5,4.0,0.0,200,15,0
22,8807,403,10,1161,944,0,7.9,7987,18,28,10,85.5,12.3,11.0,12,1.0,0.4,657,5,0
2,4817,8,172,1609,1269,6,9.5,9129,19,50,22,86.5,12.1,13.0,2,0.0,0.3,200,5,0
9,1730,149,11,1166,952,36,7.7,4238,22,43,10,90.3,12.5,10.0,9,3.0,0.4,200,5,0
2,2320,38,7,1135,952,56,7.2,6450,9,53,12,99.5,12.8,17.0,12,0.0,0.7,200,8,0
0,1399,131,19,997,921,43,8.5,10280,27,12,10,92.0,13.2,14.0,1,2.0,0.1,200,0,0
0,3254,289,10,1184,1030,0,8.4,4991,9,11,10,92.6,12.8,9.0,3,2.0,0.2,200,0,0
0,2740,76,0,1076,947,37,9.0,5574,15,12,11,126.0,16.3,15.0,3,3.0,0.6,200,8,0
2,3875,76,6,1077,948,43,8.0,8952,19,22,9,101.4,14.5,16.0,0,5.0,1.2,200,8,0
2,1528,3748,5,1074,1058,0,8.0,4193,5,22,20,100.6,13.6,8.0,4,7.0,0.4,418,4,0
1,2095,3326,117,1399,1147,254,9.3,5249,15,12,12,119.2,14.6,16.0,4,3.0,0.4,200,2,0
5,2249,4001,73,945,959,38,9.2,2709,5,17,10,90.8,12.2,9.0,0,0.0,0.7,395,0,0
2,1423,248,59,1154,1003,202,9.5,4360,15,9,9,104.2,13.1,14.0,2,2.0,0.2,200,3,0
0,1686,142,13,1596,1370,68,8.1,5026,119,130,20,121.3,15.7,19.0,5,7.0,0.8,886,10,0
7,1000,398,9,1353,1135,94,7.2,7015,16,114,218,136.9,16.7,24.0,4,8.0,2.4,200,19,1
5,1690,28,78,1329,1096,235,9.4,4580,20,18,14,104.0,13.4,16.0,3,3.0,0.3,200,3,0
2,1192,3799,3,1111,943,0,9.0,4358,9,15,10,92.8,12.7,9.0,0,4.0,0.5,392,1,0
5,1524,3322,116,1384,1233,31,8.5,4960,2,24,76,95.7,12.8,12.0,6,5.0,0.1,200,40,0
0,5926,146,11,1264,1080,43,8.1,4183,5,37,806,113.0,14.7,17.0,5,2.0,1.3,200,17,0
2,1338,2735,2,1220,1006,0,8.6,8042,5,17,9,102.4,13.9,10.0,5,3.0,0.8,200,2,0
1,1749,3139,2,1052,864,0,8.7,4200,6,19,13,92.5,12.7,11.0,3,3.0,0.3,536,3,0
0,2364,24,4,1191,1013,0,8.1,11300,1,23,8,81.3,11.5,11.0,1,2.0,0.2,200,4,0
3,2376,254,18,1140,948,198,8.7,3338,8,13,11,94.0,13.5,15.0,2,3.0,0.8,1600,1,0
3,1360,3193,382,1142,1025,15,8.2,4478,8,22,11,97.3,13.4,12.0,4,2.0,0.2,375,2,0
1,1732,0,129,1314,1123,239,8.9,5135,16,17,13,112.1,14.4,12.0,2,5.0,0.3,200,4,0
2,1395,36,2,1126,964,14,9.2,10410,9,13,66,126.4,15.4,12.0,3,2.0,0.2,200,2,0
2,1368,2439,2,1186,941,3,7.8,4260,3,76,9,98.5,13.1,13.0,5,6.0,0.7,568,61,0
2,1333,73,0,1232,981,232,9.3,4331,6,16,9,111.2,14.0,14.0,4,0.0,0.6,200,0,0
2,4640,3443,485,1171,1011,63,6.8,3192,5,10,1038,94.8,12.9,12.0,1,0.0,0.3,200,2,0
0,1368,123,20,1421,1085,3,9.2,10970,23,34,13,94.2,12.8,15.0,2,2.0,0.6,568,6,0
5,1520,22,117,1259,1002,1,8.1,3900,16,50,43,94.3,12.8,12.0,10,2.0,0.3,550,24,0
1,6334,3278,5,1164,970,45,9.2,4894,9,18,15,92.5,13.3,16.0,5,3.0,0.5,200,2,0
0,2347,2912,2,1179,996,199,9.1,4064,9,18,11,114.6,14.5,13.0,2,2.0,0.7,461,2,0
3,2069,3414,361,1170,828,0,8.0,4138,13,15,12,90.6,12.5,10.0,4,2.0,0.6,550,1,0
7,1746,3384,1,866,691,12,7.5,9625,8,11,16,137.3,16.2,13.0,2,3.0,0.1,200,3,0
3,1196,2439,14,999,892,41,8.8,7805,17,16,9,120.5,14.6,17.0,2,2.0,0.7,396,0,0
6,3371,2989,422,1157,973,0,10.2,12740,5,9,9,96.9,13.5,11.0,2,3.0,0.1,704,0,0
2,4482,844,111,1158,907,172,9.7,4492,12,32,344,96.8,12.8,14.0,3,4.0,0.5,200,4,0
0,2348,11,149,1163,974,44,8.4,9468,19,6,9,88.3,11.6,16.0,1,1.0,0.1,200,0,0
46,8140,94,7,930,815,0,7.5,3571,15,15,11,84.4,12.2,11.0,0,2.0,0.5,200,0,1
3,4243,30,4,1423,1096,1,10.6,10320,87,152,11,98.9,19.4,170.0,48,6.0,1.0,550,28,0
8,3666,107,7,1209,947,0,8.1,4562,5,30,16,102.7,13.9,9.0,3,3.0,0.9,200,2,0
8,1383,3784,54,1108,1084,25,9.2,3482,5,32,11,95.7,12.9,10.0,4,3.0,0.9,386,3,0
4,1000,3141,149,1155,928,215,6.3,3819,15,40,12,60.5,9.5,19.0,4,2.0,0.7,200,5,0
