AL,ANONYMOUS_1,CA,S,V40,FE,U4,PQINDEX,U6,B,ZN,P,CU,U14,BA,U20,MG,SI,U25,U50,Y_LABEL
110,2415,17,1334,72.6,4,41081.0,17,11261.0,1,412,328,2,39.0,1,3.0,0,0,0.0,0.0,1
1,1830,3174,5075,54.4,2,1181.0,5,274.0,19,441,363,9,13.0,2,4.0,6,0,2.0,2.0,0
2,1706,127,1582,45.8,4,24308.0,18,9765.0,10,428,284,1,478.0,0,134.0,3,4,62.0,44.0,0
2,1364,26,5099,53.4,7,21270.0,1,731.0,1,578,427,111,113.0,3,44.0,1,9,17.0,0.0,0
0,8483,37,3084,58.1,2,1304.0,9,428.0,3,382,278,7,19.0,0,5.0,0,3,3.0,3.0,1
2,2806,184,9365,68.5,16,20490.0,21,4410.0,23,321,259,3,186.0,0,52.0,3,2,50.0,29.0,0
3,1428,7,1388,44.8,99,14579.0,18,12781.0,3,672,478,211,1018.0,2,326.0,3,2,86.0,0.0,0
2,1618,28,6380,68.4,33,20344.0,21,490.0,1,318,267,25,4.0,2,1.0,3,2,0.0,0.0,0
6,4353,2803,7819,61.9,10,1816.0,29,629.0,329,408,307,2,124.0,0,62.0,8,2,46.0,5.0,0
1,4105,24,7998,63.2,6,21427.0,11,16419.0,187,129,124,3,1271.0,0,482.0,3,11,309.0,1.0,0
1,1350,56,3676,50.9,5,6121.0,5,898.0,8,541,366,3,57.0,0,35.0,2,2,18.0,1.0,0
0,1000,46,2259,56.9,23,38539.0,18,1069.0,6,420,320,11,8.0,0,1.0,7,43,0.0,0.0,0
8,1508,3303,1164,45.3,2,9781.0,4,2020.0,167,672,436,11,271.0,0,15.0,0,0,3.0,0.0,0
3,2912,3261,1870,46.6,12,10733.0,11,401.0,390,627,408,49,10.0,0,2.0,2,9,1.0,1.0,0
2,4988,3300,6352,67.9,5,24032.0,10,1876.0,3,482,359,0,85.0,0,24.0,5,3,11.0,7.0,0
2,6083,113,10050,45.7,70,36675.0,49,17420.0,2,307,267,23,204.0,0,56.0,0,2,26.0,0.0,0
0,1634,14,6964,63.5,4,7985.0,11,754.0,147,338,269,0,33.0,2,7.0,2,0,6.0,6.0,0
2,1535,3060,4235,54.8,11,2591.0,10,82.0,1,523,381,5,8.0,0,4.0,2,3,3.0,0.0,0
0,3676,201,1089,44.4,4,4204.0,17,565.0,7,705,477,4,9.0,0,2.0,0,1,2.0,1.0,0
0,2192,29,2316,70.5,4,7701.0,5,2704.0,165,282,226,0,510.0,0,402.0,3,2,262.0,209.0,0
7,6992,33,7636,67.7,4,3094.0,9,624.0,4,399,341,1,33.0,0,10.0,0,2,4.0,3.0,0
0,4535,128,7303,61.6,18,36830.0,73,19404.0,170,349,271,7,37.0,0,5.0,5,11,2.0,1.0,0
1,2085,16,2226,45.8,11,14397.0,71,7090.0,4,623,429,4,492.0,0,84.0,3,3,40.0,23.0,0
6,2484,3249,1690,46.5,1,5059.0,3,1508.0,163,674,486,93,121.0,0,28.0,2,0,13.0,0.0,0
0,1456,30,2889,49.0,10,30994.0,5,2230.0,150,520,368,5,23.0,5,5.0,1,1,4.0,1.0,0
1,1667,44,5556,59.7,8,44626.0,13,2937.0,10,439,319,57,29.0,0,6.0,4,3,4.0,1.0,0
1,6950,52,1359,44.3,2,10427.0,7,703.0,0,705,564,25,27.0,0,15.0,1,0,10.0,6.0,0
7,2069,3208,1004,44.1,2,21151.0,5,136.0,136,584,466,170,3.0,0,1.0,0,1,0.0,0.0,0
