CA,ANONYMOUS_1,AL,PQINDEX,P,FE,V40,ZN,B,S,SI,MO,NA,CU,ANONYMOUS_2,BA,MG,K,CR,MN,Y_LABEL
3059,1486,3,8504,1951,888,154.0,75,93,21370,427,1,16,78,200,0,14,27.0,13,16,0
71,3954,1,217,309,71,133.1,128,157,18470,2,0,2,0,200,0,0,0.0,0,0,0
130,1416,0,26,330,35,148.5,24,21,16280,1,0,2,3,616,0,0,0.0,0,0,0
2589,1170,5,7735,866,81,142.9,16,3,17090,6,1,5,6,370,3,0,2.0,3,2,0
11,4880,0,83,451,166,140.7,89,1,15960,2,0,2,125,200,0,3,0.0,4,5,0
2325,1172,3,139,295,31,173.8,4,2,13240,0,0,1,0,375,1,0,0.0,0,0,0
56,3076,0,23,1001,30,133.0,28,2,20570,3,0,0,5,200,0,2,0.0,0,0,0
3330,3475,7,23,905,23,114.0,1087,86,8893,61,0,0,15,200,0,7,0.0,0,0,0
159,3793,0,64,340,150,133.8,11,13,22910,21,0,2,8,1485,0,0,0.0,1,1,0
2670,1000,25,56,2185,70,170.2,125,455,27460,22,0,11,4,200,0,2,1.0,1,1,1
50,2896,2,139,250,134,153.5,48,5,19350,2,0,2,10,200,0,1,0.0,2,2,0
398,6655,0,52,365,25,136.7,44,2,21220,1,2,0,1,200,0,4,0.0,0,0,0
2624,1814,1,96,612,77,156.1,33,13,27470,5,0,2,1,200,1,1,2.0,0,2,0
2814,7671,2,950,193,161,145.9,17,392,17800,5,0,0,0,571,0,0,3.0,0,2,0
71,7636,4,63,1920,72,160.5,202,6,23810,5,2,4,3,479,0,2,2.0,0,2,0
203,8242,2,1864,511,1207,148.6,22,21,23610,358,1,3,5,200,0,6,11.0,14,12,0
2889,3601,2,168,278,132,153.6,117,13,16250,10,4,1,0,200,0,0,0.0,2,0,0
16,1667,1,504,322,255,144.2,16,10,13970,69,0,1,0,200,2,5,2.0,2,2,0
34,2739,2,73,467,138,139.7,13,18,20440,10,0,0,0,200,0,0,2.0,2,1,0
109,1446,1,39,2152,504,141.8,31,21,29040,2,55,4,4,646,0,2,0.0,2,3,0
2697,2435,3,19,2347,193,137.0,42,138,35400,3,4,4,2,200,0,0,0.0,1,2,0
9,2363,1,36,959,44,129.2,7,219,20070,3,0,0,0,200,0,1,0.0,0,0,0
61,7789,0,1368,2082,116,158.3,64,3,22800,11,2,7,5,200,0,2,3.0,4,4,0
3295,2901,3,269,462,137,134.2,43,0,15240,4,0,4,0,200,0,2,2.0,1,4,0
183,4817,628,25,1262,91,129.9,45,123,20760,2,5,0,6,200,6,6,0.0,2,2,1
2437,1149,1,301,233,281,147.6,130,8,16700,6,1,1,0,349,0,20,0.0,3,2,0
28,1370,2,2432,579,156,154.2,14,167,22830,14,0,2,3,200,2,7,1.0,1,2,0
63,2581,0,27,996,31,130.9,9,4,19860,0,0,1,0,200,0,0,1.0,0,2,0
73,2248,77,118,294,209,163.2,47,2,12510,4,1,0,5,200,2,0,1.0,2,2,1
3428,3005,1,117,1082,72,68.3,1268,18,6225,14,13,13,3,200,0,9,2.0,3,3,0
6,21986,0,32,932,11,132.8,7,163,19180,0,0,1,0,200,0,0,2.0,0,0,0
58,4946,0,109,1872,85,124.4,109,2,22900,0,1,4,1,200,0,3,0.0,0,2,0
148,2118,1,1911,954,192,123.1,16,15,19390,26,0,0,14,200,0,2,0.0,3,2,0
3211,4856,2,63,724,85,139.5,30,448,17960,2,0,2,25,200,0,0,5.0,0,2,0
136,1666,1,76,937,64,133.2,14,19,18410,1,0,3,0,866,0,0,2.0,1,1,0
151,1434,2,83,1116,324,55.5,1079,18,4575,12,9,0,41,634,1,9,0.0,2,5,0
143,2416,0,903,981,1621,59.5,988,16,7076,28,7,0,4,200,0,6,2.0,14,22,0
3479,3641,4,243,1129,99,122.8,57,185,21110,30,0,2,0,200,1,2,0.0,1,1,0
55,2031,0,44,878,39,109.3,1056,0,5133,47,0,4,36,1231,0,13,0.0,0,0,0
3381,1343,7,1118,2341,57,148.0,31,136,26360,3,4,1,2,200,1,0,1.0,2,1,0
15,4164,7,3385,189,670,181.8,15,2,19530,282,0,7,2,200,0,8,15.0,6,6,0
3243,3135,4,151,884,68,132.1,13,138,18950,2,0,0,0,200,0,0,2.0,1,0,0
52,3821,0,24,198,22,150.8,35,2,18680,3,0,0,0,200,0,10,2.0,0,0,0
135,6017,0,47,842,12,132.5,8,0,17140,0,0,0,4,1600,0,1,0.0,0,0,0
