CA,V40,AL,MG,ANONYMOUS_1,BA,MO,S,P,CU,B,PQINDEX,FE,ZN,NA,K,SI,MN,ANONYMOUS_2,PB,Y_LABEL
2971,71.6,12,8,1539,0,4,4697,1065,367,196,8,24,1186,35,9.0,4,0,200,3,0
1113,73.9,0,15,1718,0,4,5495,1141,197,35,12,13,1262,12,3.0,3,0,200,0,0
2977,70.4,2,193,2056,0,29,3624,1026,0,56,10,14,1074,7,2.0,5,0,544,0,0
2727,81.5,9,353,3851,0,136,4000,897,108,8,24,15,1007,3,6.0,5,0,200,0,0
13,66.4,0,6,2432,0,2,7057,1000,254,0,10,19,1020,14,3.0,1,3,200,1,0
3155,77.4,6,275,1368,1,14,7977,1342,0,147,14,23,1506,2,4.0,4,0,200,0,0
2601,81.9,0,215,9097,0,2,7825,1115,1,212,21,19,1071,2,2.0,4,1,200,0,0
29,81.4,0,9,2405,0,38,4700,981,61,146,8,14,1142,7,4.0,8,0,200,0,1
3566,57.4,3,7,1647,0,0,4141,941,6,7,18,27,1066,23,5.0,4,4,200,0,0
2925,37.6,2,0,1899,0,0,1556,326,6,3,18,46,21,0,0.0,3,0,200,0,0
2723,78.3,3,260,1000,0,99,3903,950,67,440,18,13,1077,14,2.0,7,0,200,0,0
2690,64.7,2,12,63454,1,7,7425,1360,10,2,10,24,1628,38,8.0,7,8,900,0,0
2302,69.7,2,146,5960,0,2,5382,1135,5,4,13,22,1200,13,3.0,4,2,200,1,0
2182,82.3,2,71,5612,0,164,4997,1324,2,3,13,18,1433,6,1.0,3,0,200,0,0
476,70.0,3,216,4490,0,134,4388,892,472,51,14,28,1033,6,3.0,6,0,200,0,0
180,82.2,8,10,2088,0,168,5287,1191,298,6,7,22,1388,12,3.0,4,2,200,0,0
2795,72.6,4,8,1156,6,48,7238,1019,402,4,9,18,1104,16,4.0,4,0,356,0,0
2356,74.6,1,341,2012,0,130,4249,794,426,9,12,32,884,0,3.0,5,0,200,0,0
3058,78.7,13,178,1401,0,77,7144,1134,526,142,13,24,953,11,2.0,4,0,456,1,0
129,72.9,1,278,1316,0,100,4462,1057,478,19,13,22,1077,14,3.0,4,2,516,0,0
100,55.4,0,36,4610,0,6,3102,715,85,150,37,19,816,24,3.0,4,8,1710,62,0
2600,81.0,6,246,1177,3,121,4382,1004,576,3,5,14,1064,10,2.0,5,0,377,0,0
2835,44.3,0,15,2758,0,16,5579,892,7,394,18,25,1032,25,2.0,7,1,200,2,0
3271,83.4,5,14,6780,0,296,5251,1325,0,2,20,25,1505,5,2.0,5,0,5800,0,0
3117,67.9,1,193,2088,0,10,4259,1041,1,4,8,10,1077,7,1.0,3,0,492,0,0
74,70.0,0,8,4476,0,3,4271,940,9,2,8,12,966,6,0.0,3,0,994,0,0
381,81.7,1,9,1702,1,133,5030,1164,167,12,11,14,1197,12,4.0,4,0,200,0,0
113,62.5,0,351,2400,0,17,3756,935,3,0,12,17,1096,13,2.0,4,0,1600,0,0
2624,75.4,2,342,4910,0,135,4185,1070,540,0,20,29,1142,10,3.0,5,0,200,0,0
2726,66.2,7,5,1242,6,1,4417,1080,341,17,12,15,1226,26,6.0,4,0,442,2,0
132,78.5,5,367,2052,0,135,6307,1086,103,17,31,20,1173,5,6.0,6,0,1252,1,0
63,55.1,0,7,2377,0,17,4061,1050,5,2,32,33,1217,26,4.0,7,1,200,0,0
2664,73.6,5,70,1353,0,32,7533,1105,1,6,39,43,1141,0,2.0,9,0,553,0,0
2329,80.8,2,135,6273,0,22,8424,1162,0,5,8,25,1167,2,2.0,6,0,200,0,1
146,78.6,5,10,1704,0,140,5241,1252,101,19,16,15,1368,17,1.0,3,3,904,0,0
2400,74.6,3,9,6967,0,3,4773,916,9,9,17,16,1079,22,2.0,3,6,392,1,0
2275,81.9,3,15,2075,0,97,4774,1079,1,151,13,10,1170,0,0.0,2,0,200,0,0
20,73.5,1,11,2442,0,3,6291,1127,112,0,19,15,1264,15,5.0,7,0,200,0,0
2666,72.2,13,11,1176,6,11,4279,1087,0,10,6,10,1211,2,0.0,3,0,376,0,0
53,73.8,0,22,4621,0,2,4006,936,0,3,8,10,1035,4,2.0,3,0,827,1,0
3153,72.8,3,19,2046,0,4,4481,900,139,114,10,16,1011,11,2.0,3,2,200,0,0
3380,72.0,4,10,2099,0,46,8494,859,69,200,12,12,1006,5,1.0,7,3,200,67,0
2804,79.0,7,256,1161,5,3,7121,1192,0,4,3,21,1346,5,0.0,3,1,200,3,0
3159,76.7,1,61,8704,0,8,4903,841,0,26,9,12,1051,2,4.0,2,0,550,0,0
2418,72.1,14,13,1415,11,0,4831,1079,1,4,5,11,1209,2,2.0,5,0,200,0,0
128,35.7,2,1,1686,0,0,1184,258,5,0,15,43,13,4,0.0,4,0,886,0,0
2983,79.8,5,206,2750,1,136,4224,1018,273,122,46,16,1042,8,2.0,6,0,200,0,0
3218,68.2,2,11,4637,0,1,3613,810,1,8,6,10,972,3,4.0,3,0,694,1,0
139,73.3,1,11,1758,0,48,6397,1013,0,18,5,9,1148,4,2.0,3,0,200,0,0
5,90.7,0,257,1767,0,112,5535,719,18,4,12,9,843,4,5.0,7,0,200,0,1
3013,71.6,4,244,1193,3,97,3851,927,403,12,18,20,1020,9,1.0,5,0,393,0,0
69,75.6,0,260,6539,0,11,7362,1205,1,5,18,31,1377,4,2.0,3,0,200,0,1
3520,64.4,2,13,3202,0,24,8273,884,3,342,26,27,974,9,2.0,7,0,200,0,0
2263,71.1,2,12,2050,0,3,5286,1060,4,77,28,10,1156,13,2.0,3,0,200,2,1
3277,76.9,2,15,1355,3,127,5190,1264,458,94,24,20,1283,10,1.0,6,1,550,0,0
10,75.9,2,211,6539,0,51,7452,1280,2,1,11,31,1389,9,1.0,4,1,200,0,0
3425,59.0,4,5,1361,3,37,4933,1059,499,97,16,23,1197,20,3.0,7,1,550,1,0
69,67.0,0,9,2406,0,42,9412,916,0,0,7,13,1051,4,2.0,7,0,200,0,0
47,64.8,1,46,10828,0,6,7129,1170,262,12,23,25,1156,4,3.0,3,0,200,1,0
102,76.1,1,18,2043,0,201,4296,1142,1,0,25,18,1198,7,1.0,3,0,200,0,0
1975,69.8,3,6,2276,0,0,4049,976,199,3,10,16,1103,30,4.0,4,0,200,0,0
56,68.9,2,29,5275,0,1,3893,948,0,0,9,14,1038,4,0.0,3,0,1481,6,0
2424,78.9,5,243,6812,0,12,6978,1188,0,1,22,21,1269,2,2.0,4,0,200,0,0
2358,72.4,2,117,4243,0,0,5758,686,1,9,10,6,788,2,0.0,2,0,200,0,0
1119,65.8,2,6,8407,0,5,4008,1001,48,149,6,11,1011,24,2.0,2,3,200,0,0
2278,76.6,2,29,7367,2,42,5322,1092,0,3,24,15,1282,2,0.0,6,0,200,0,0
3070,70.3,2,9,1414,3,3,7637,1144,10,95,9,9,1224,15,3.0,2,0,614,0,0
2713,76.3,8,10,2058,0,141,4318,1020,534,178,22,33,1188,11,2.0,6,4,200,2,0
2621,68.7,3,15,1154,3,2,7245,761,25,3,6,9,844,4,1.0,1,0,200,0,0
17,65.1,1,6,2803,0,0,4786,955,10,3,26,20,1045,18,7.0,5,4,200,0,0
2182,76.2,3,225,4441,0,43,7417,1195,0,3,9,21,1376,2,0.0,3,0,200,0,0
2839,80.0,2,14,1430,1,243,4686,1251,1,91,25,30,1440,5,2.0,4,0,200,0,0
3049,75.9,4,6,1870,4,185,4975,1190,2,113,17,19,1445,9,2.0,3,0,200,0,1
623,73.0,3,9,1389,0,7,4628,992,0,17,5,10,1091,4,2.0,4,0,200,0,0
2622,70.0,1,7,2130,0,3,4572,1101,284,9,3,16,1169,26,8.0,3,0,200,0,0
33,81.2,0,14,2190,0,280,5292,1248,0,2,25,17,1444,1,2.0,3,0,200,1,0
2903,72.4,1,11,2192,1,129,4537,1070,4,2,17,17,1195,14,4.0,4,3,200,0,0
267,70.0,3,15,1730,0,4,8785,1100,359,10,12,12,1219,15,7.0,3,0,200,0,1
153,82.0,0,13,1343,0,244,4523,1280,0,21,5,13,1409,5,0.0,2,1,543,0,0
2527,69.9,1,9,3422,0,2,4471,927,4,6,5,9,1027,6,1.0,2,0,200,0,0
25,41.3,1,19,1741,0,8,6420,838,12,3,71,65,951,18,5.0,10,2,200,7,0
2258,72.1,2,240,1000,0,91,5436,1082,346,20,12,29,1218,4,18.0,6,0,200,0,0
2878,62.5,2,11,3875,0,5,7504,1105,4,378,15,17,1150,15,0.0,7,0,200,0,0
100,81.2,1,13,1357,0,204,4769,1161,2,9,7,12,1273,5,1.0,4,1,200,0,0
2458,84.1,7,16,1207,4,155,5754,1306,0,4,8,25,1392,5,0.0,0,0,200,0,0
3480,77.1,1,241,8861,0,17,7546,1165,0,461,19,21,1375,2,0.0,4,0,200,0,0
120,64.0,3,8,2002,0,1,4379,1102,100,16,12,8,1231,30,2.0,4,0,1202,0,0
32,67.2,3,9,8001,0,2,4205,944,4,0,5,11,1067,14,2.0,2,0,7201,0,0
40,67.0,2,121,1414,0,29,6960,1095,2,178,18,35,1152,5,0.0,5,0,200,0,0
7,40.9,0,0,1000,0,0,1961,329,63,0,23,19,393,9,0.0,7,0,200,7,0
146,72.4,2,10,2512,0,23,5219,963,0,15,6,8,1135,3,2.0,3,0,200,0,0
3306,70.7,8,10,3106,0,0,4271,1007,0,100,5,11,1151,3,5.0,2,0,200,0,0
218,81.3,0,13,2033,0,128,4888,1175,6,141,16,21,1330,14,3.0,4,4,407,0,0
2866,63.7,1,12,2670,0,26,8202,875,3,394,19,30,947,9,2.0,8,0,200,2,0
133,61.6,4,8,1491,6,2,3758,971,428,5,5,20,1076,17,1.0,3,0,200,2,1
1910,83.1,4,15,3062,0,246,4713,1273,0,96,21,18,1480,5,2.0,3,0,200,0,0
78,72.3,1,99,1357,3,38,6552,1072,56,4,8,12,1157,7,2.0,4,0,557,0,0
3520,71.9,2,12,7321,0,2,4507,938,1,0,7,11,1104,6,1.0,3,0,531,3,0
100,76.0,5,162,3095,0,96,6252,1183,336,6,10,16,1378,4,2.0,4,0,200,0,0
9,65.6,88,8,1768,2,2,3953,1071,493,190,15,41,1255,26,4.0,4,1,505,1,1
3145,71.0,5,9,2006,0,1,4731,915,0,103,14,6,1091,3,0.0,2,0,200,0,0
2611,57.9,2,4,2502,0,0,3722,900,5,60,20,19,1004,23,5.0,4,1,200,0,0
3592,65.1,10,7,2077,0,1,3874,1036,83,107,18,11,1197,26,2.0,2,0,375,1,0
2516,70.6,4,10,1189,3,136,4406,1168,4,2,20,16,1317,12,3.0,5,1,200,0,0
129,70.0,1,10,1310,0,0,4589,995,14,16,9,24,1004,3,2.0,3,0,200,0,0
3374,84.2,3,11,1478,3,231,5946,1326,1,109,17,10,1430,4,0.0,2,0,200,0,0
19,50.8,2,173,4339,2,0,6181,1259,47,1,52,55,1293,32,4.0,6,23,200,1,0
2447,57.4,4,214,1226,4,0,7348,1245,36,20,19,49,1334,22,3.0,6,18,200,2,0
2716,69.7,2,8,2403,0,8,4571,1082,2,5,19,15,1168,4,2.0,2,0,200,0,0
118,71.1,1,21,1352,1,2,5738,1007,393,0,9,10,1028,8,0.0,2,0,552,1,0
47,57.4,2,7,1387,4,2,4303,917,123,1,14,15,980,25,0.0,3,0,587,0,1
16,70.6,2,12,1343,6,41,11460,990,0,1,7,7,1077,2,0.0,6,0,200,0,0
16,72.6,0,9,5965,0,0,9902,1038,302,1,5,15,1114,4,3.0,3,0,620,0,0
66,53.7,0,9,4525,2,0,3811,939,5,2,25,26,1052,24,2.0,3,0,550,0,0
118,73.4,7,14,3154,0,106,4754,1127,3,101,19,22,1252,16,3.0,3,2,613,2,0
48,83.7,3,11,1000,0,198,4664,1052,1,124,27,15,1162,4,1.0,3,0,613,0,0
41,71.4,0,7,2010,0,4,3418,930,3,6,22,17,1024,10,0.0,2,0,200,0,0
3356,66.7,3,12,2152,0,139,3790,873,146,36,21,14,984,13,2.0,4,6,200,199,0
3386,70.4,1,98,1375,0,5,4399,1057,1,2,6,11,1148,3,2.0,3,0,575,0,0
18,67.3,1,10,1000,0,28,9385,1025,3,1,19,29,1072,15,3.0,8,1,200,1,0
2499,70.1,2,141,1546,0,6,4086,1021,0,0,9,11,1063,8,1.0,3,0,491,0,0
167,76.3,0,348,2971,0,142,4207,1009,615,10,14,24,1145,11,2.0,6,0,200,2,0
3686,62.4,3,9,1357,3,24,7462,974,3,121,20,38,1128,17,3.0,6,0,200,0,0
3489,71.4,2,15,1369,0,0,4176,1055,2,2,5,14,1108,3,0.0,3,0,569,2,0
3379,69.3,2,18,3070,0,37,9622,927,4,599,502,33,1031,2,3.0,18,1,200,0,0
13,70.2,228,9,2006,2,5,4456,990,0,139,7,7,1116,3,3.0,3,0,200,0,1
2843,68.8,0,11,5186,0,130,4634,1121,2,2,18,21,1331,13,3.0,4,0,200,0,0
2803,66.3,2,7,1773,0,3,4605,1029,195,13,5,17,1144,24,2.0,3,3,200,0,0
3279,61.0,5,4,2379,0,0,4433,1016,6,103,25,13,1116,25,3.0,2,1,200,0,0
3561,65.2,2,13,1688,0,126,5089,851,5,362,15,27,968,12,2.0,5,1,200,3,0
2752,63.1,1,13,1697,0,126,5253,951,171,10,12,27,1157,15,0.0,4,8,547,322,0
3689,72.2,1,18,3977,0,0,4162,981,0,0,10,20,1114,2,4.0,2,0,550,2,0
19,97.4,2,7,1380,1,48,10980,520,12,6,16,2,621,2,3.0,3,0,200,0,0
1011,58.8,2,753,1373,1,32,2951,992,3,4,9,13,1111,24,2.0,8,0,573,2,0
3262,66.4,0,10,1361,1,32,6215,976,207,95,34,16,1113,10,2.0,7,1,235,2,0
2903,69.8,8,5,1581,0,2,4461,1095,29,204,20,12,1204,28,9.0,2,0,200,0,0
3777,61.2,2,8,2734,0,13,4553,897,6,358,3,18,983,21,6.0,3,4,790,0,0
2688,73.6,4,9,9833,8,163,3919,1075,738,7,22,23,1231,10,0.0,2,0,200,0,0
3266,78.4,2,145,3200,0,18,6713,1052,0,86,10,19,1237,2,0.0,6,0,613,0,0
3517,41.2,2,19,1311,1,10,6385,865,9,16,62,62,938,22,4.0,10,3,200,7,0
219,60.5,1,7,1732,2,0,3976,898,5,17,10,12,1050,24,5.0,3,0,200,0,0
3422,73.0,4,201,1434,3,80,4440,974,499,103,14,21,1137,16,5.0,5,0,634,0,0
99,81.9,3,13,2393,0,231,6306,1274,491,10,8,22,1434,6,2.0,6,0,1593,1,0
13,41.1,1,22,2586,2,14,7082,912,8,85,10,19,1065,25,4.0,8,2,200,5,0
3039,68.9,2,248,1382,0,9,4262,1084,3,5,30,41,1153,13,0.0,3,0,582,0,0
53,77.8,94,12,1387,2,142,4671,1007,28,22,22,26,1166,13,2.0,4,1,200,0,1
2658,68.1,5,9,1197,3,7,4456,1082,333,1,19,25,1183,24,10.0,4,0,200,1,0
22,69.5,2,10,2454,0,0,4277,956,35,0,6,22,977,3,2.0,4,0,200,0,0
177,51.8,0,147,2159,0,0,7075,1495,23,132,15,29,1641,56,5.0,4,30,200,0,0
2958,80.6,6,390,1172,5,154,3763,936,264,1,7,18,998,7,5.0,5,0,200,0,0
145,67.6,0,9,1601,0,15,4510,982,8,0,16,10,1168,14,0.0,3,2,801,1,0
39,93.9,0,11,2581,0,231,5182,1268,199,2,3,9,1347,5,2.0,4,0,200,0,0
1545,65.3,2,661,1383,0,37,4304,1210,2,103,10,11,1132,23,0.0,4,0,583,0,0
3480,71.0,0,11,5231,0,0,4675,996,0,113,5,12,1102,4,1.0,3,0,620,0,0
74,65.4,1,14,2001,0,122,4094,1008,506,4,9,17,1130,14,0.0,5,1,200,1,0
3227,77.6,1,414,2065,0,163,3722,942,360,391,14,15,1117,3,4.0,6,0,200,0,0
90,35.8,0,0,1630,0,0,1280,345,2,136,14,53,21,0,0.0,2,0,830,0,0
3741,69.9,2,9,8001,0,0,4107,1059,0,2,6,11,1173,3,1.0,3,0,550,2,0
2986,69.5,1,101,1413,0,5,4295,1008,0,3,5,9,1065,0,2.0,2,0,613,0,0
981,61.0,2,826,1410,0,40,2435,964,3,2,12,19,1131,29,0.0,5,0,610,0,0
3039,71.9,5,10,2057,0,5,6775,940,4,126,3,14,1004,11,5.0,3,3,200,0,0
148,74.2,1,232,1757,1,112,4943,956,328,4,10,15,1086,7,2.0,7,0,550,0,0
56,64.7,3,180,3200,0,9,4289,975,3,0,11,20,1111,12,0.0,4,0,874,0,0
33,59.7,2,56,1496,2,5,5152,914,337,1,12,16,952,8,0.0,2,1,696,2,1
174,77.0,0,203,1698,0,74,4140,1009,259,15,12,17,1104,16,12.0,4,0,898,0,0
3167,71.1,5,7,9104,0,5,4662,931,0,44,13,8,1112,2,0.0,2,0,200,1,0
21,72.3,0,12,2834,0,216,4335,1210,2,2,14,43,1377,6,1.0,5,1,200,0,0
